"lineage","lineagegroup"
"BM.1.1.4","BA.2.75"
"XBB.2.1","XBB"
"CH.1.1.3","BA.2.75"
"BQ.1.1.2","BQ"
"XBB.2.3","XBB.2.3"
"BW.1.1","BA.5"
"XBB.1.11.1","XBB"
"BQ.1.1.45","BQ"
"XBB.1.9.2","XBB"
"XBL","XBB"
"BQ.1.3","BQ"
"BQ.1.1.38","BQ"
"XBB.1.5.5","XBB"
"BQ.1.1.8","BQ"
"DF.1","BA.5"
"XBB.2.4","XBB"
"BQ.1.13.1","BQ"
"BQ.1.1.35","BQ"
"BQ.1.1.52","BQ"
"XBB.1.5.8","XBB"
"XBB.1.16","XBB.1.16"
"XBB.1.5.7","XBB"
"XBP","XBB"
"XBB.1.11","XBB"
"XBB.1.5.4","XBB"
"XBN","Omicron"
"EF.1","BA.5"
"BQ.1.1.64","BQ"
"XBB.1.16.1","XBB.1.16"
"XBB.1.13","XBB"
"XBB.1.5.1","XBB"
"CM.2.1","BA.2.X"
"XBB.1.5.12","XBB"
"XBB.2.3.2","XBB.2.3"
"XBB.1.5.18","XBB"
"XBB.1.5.39","XBB"
"XBB.1.5.15","XBB"
"EG.1","XBB"
"XBB.1.5.13","XBB"
"XBB.1.22.1","XBB"
"XBB.1.5.32","XBB"
"XBB.1.5.3","XBB"
"XBB.1.22","XBB"
"XBB.1.5.28","XBB"
"XBB.1.5.23","XBB"
"XBB.1.5.16","XBB"
"XBB.1.5.38","XBB"
"FD.2","XBB"
"XBB.1.5.37","XBB"
"BQ.1.1.47","BQ"
"CH.1.1.17","BA.2.75"
"BA.5.1.29","BA.5"
"XBB.1.22.2","XBB"
"XBB.1.5.25","XBB"
"XBB.1.5.33","XBB"
"XBB.1.5.24","XBB"
"XBB.1.5.14","XBB"
"AV.1","Other"
"XBB.8","XBB"
"XBB.2.8","XBB"
"XBB.6","XBB"
"XBB.1.5.11","XBB"
"XBB.2.7.1","XBB"
"EP.1","BA.2.75"
"XBC.1.1","Omicron"
"EL.1","XBB"
"XBB.1.8","XBB"
"XBB.1.12","XBB"
"XBB.1.24","XBB"
"XBB.1.17.1","XBB"
"XBB.1.5.17","XBB"
"XBB.2.7","XBB"
"BA.2.3.7","BA.2.X"
"CH.1.1.11","BA.2.75"
"XBB.1.19.1","XBB"
"XBB.1.5.31","XBB"
"XBB.2.5","XBB"
"XBB.1.19","XBB"
"BF.38","BA.5"
"BA.5.1.35","BA.5"
"EC.1.1","BA.5"
"BN.1.3.5","BA.2.75"
"BF.7.22","BA.5"
"EF.1.1.1","BA.5"
"DU.1","BA.5"
"XBB.3.3","XBB"
"CV.2","BA.2.75"
"EJ.1","BA.2.75"
"BQ.1.1.59","BQ"
"XBB.1.5.20","XBB"
"BA.5.2.56","BA.5"
"BQ.1.2.1","BQ"
"BN.1.2.4","BA.2.75"
"BF.7.14","BA.5"
"BA.1.1.5","BA.1.X"
"XBB.2.6","XBB"
"XBB.1.28","XBB"
"XBB.2.3.1","XBB.2.3"
"BF.7.8","BA.5"
"BA.5.2.47","BA.5"
"XBB.1.15","XBB"
"BQ.1.1.41","BQ"
"XBF.8","Omicron"
"FC.1","BA.5"
"BQ.1.1.11","BQ"
"BQ.1.1.48","BQ"
"XBB.1.27","XBB"
"BN.1.2.2","BA.2.75"
"EE.2","BA.5"
"BN.1.3.8","BA.2.75"
"XBM","Omicron"
"BN.1.9","BA.2.75"
"XBB.1.5.21","XBB"
"XBB.1.9.4","XBB"
"BA.5.2.59","BA.5"
"B.1.564","Other"
"XBB.1.9.5","XBB"
"CH.1.1.18","BA.2.75"
"BN.1.2.3","BA.2.75"
"DY.4","BA.5"
"B.1.124","Other"
"BN.1.3.6","BA.2.75"
"BQ.1.1.68","BQ"
"BQ.1.1.69","BQ"
"BN.1.3.7","BA.2.75"
"XBB.1.7","XBB"
"BR.5","BA.2.75"
"BQ.1.1.51","BQ"
"BQ.1.1.24","BQ"
"XBF.5","Omicron"
"BF.41","BA.5"
"BA.5.2.49","BA.5"
"BA.5.1.36","BA.5"
"BE.12","BA.5"
"XBB.1.5.36","XBB"
"XBB.1.5.26","XBB"
"DY.2","BA.5"
"BC.1","Omicron"
"XBB.3.2","XBB"
"BN.1.4.1","BA.2.75"
"BN.1.10","BA.2.75"
"BN.1.11","BA.2.75"
"B.1.1.142","Other"
"BA.5.2.62","BA.5"
"BF.36","BA.5"
"DV.2","BA.2.75"
"CP.7","BA.5"
"XBB.1.9.3","XBB"
"CH.3.1","BA.2.75"
"BN.1.4.5","BA.2.75"
"CH.1.1.7","BA.2.75"
"FD.1","XBB"
"EU.1.1","XBB"
"XBB.1.5.45","XBB"
"XBB.2.3.4","XBB.2.3"
"XBB.2.3.3","XBB.2.3"
"XBB.2.3.5","XBB.2.3"
"XBB.1.16.5","XBB.1.16"
"XBB.1.16.2","XBB.1.16"
"FU.1","XBB.1.16"
"FU.2","XBB.1.16"
"EG.2","XBB"
"XBB.1.16.4","XBB.1.16"
"XBB.2.3.7","XBB.2.3"
"XBB.2.3.11","XBB.2.3"
"GE.1","XBB"
"XBB.1.16.3","XBB.1.16"
"EG.5","XBB"
"XBB.1.5.67","XBB"
"XBB.2.3.9","XBB.2.3"
"BQ.1.1.31","BQ"
"CH.1.1.24","BA.2.75"
"XBB.1.30","XBB"
"CH.1.1.27","BA.2.75"
"XBB.1.16.6","XBB.1.16"
"FL.3.3","XBB"
"BA.2.25","BA.2.X"
"GA.3","XBB"
"FT.1","XBB"
"XBL.1","Omicron"
"XBB.1.5.57","XBB"
"FY.1","XBB"
"XBB.1.34","XBB"
"FK.1.1","BA.2.75"
"XBB.9","XBB"
"FL.12","XBB"
"FL.4","XBB"
"XBB.1.5.47","XBB"
"B.1.395","Other"
"BA.2.69","BA.2.X"
"XBB.1.39","XBB"
"EG.4","XBB"
"FL.1","XBB"
"XBB.1.5.54","XBB"
"XBB.1.36","XBB"
"XBB.2.3.6","XBB.2.3"
"FL.5","XBB"
"XBB.1.5.42","XBB"
"CH.1.1.25","BA.2.75"
"FK.1","BA.2.75"
"XBB.1.5.43","XBB"
"FN.1","BA.5"
"FK.1.2","BA.2.75"
"XBB.1.24.1","XBB"
"XBB.1.5.46","XBB"
"FL.10","XBB"
"XBB.1.5.48","XBB"
"BQ.1.2.3","BQ"
"CH.1.1.19","BA.2.75"
"FL.2.1","XBB"
"BQ.1.1.67","BQ"
"FL.8","XBB"
"FL.2","XBB"
"XBB.1.5.52","XBB"
"BN.1.2.6","BA.2.75"
"XBB.1.35","XBB"
"BQ.1.1.74","BQ"
"XBB.2.3.8","XBB.2.3"
"XBB.2.3.10","XBB.2.3"
"DN.3","BA.5"
"EU.1.1.1","XBB"
"EJ.3","BA.2.75"
"XBB.3.4","XBB"
"XBB.1.5.56","XBB"
"FL.1.3","XBB"
"XBB.1.37.1","XBB"
"XBB.1.5.65","XBB"
"DN.2","BA.5"
"BQ.1.3.2","BQ"
"FD.4","XBB"
"DV.6","BA.2.75"
"XAY.2.3","Omicron"
"FY.2","XBB"
"XBB.1.5.51","XBB"
"CJ.1.3","BA.2.75"
"EG.5.1","XBB"
"EK.3","XBB"
"XBB.1.5.30","XBB"
"EG.1.2","XBB"
"FE.1.1","XBB"
"FY.4.1","XBB"
"XBB.1.31","XBB"
"XBB.1.16.11","XBB.1.16"
"XBB.1.16.8","XBB.1.16"
"GJ.1.1","XBB"
"XBB.1.5.87","XBB"
"GP.2","BA.2.75"
"GS.1","XBB"
"XBB.2.10","XBB"
"XBB.1.5.75","XBB"
"GR.1","XBB"
"XBB.1.34.2","XBB"
"XBB.1.5.66","XBB"
"XBB.2.3.12","XBB.2.3"
"BA.1.12","BA.1.X"
"FP.2","XBB"
"FP.3","XBB"
"XBB.1.45.1","XBB"
"XBB.2.12","XBB"
"FY.5","XBB"
"FK.1.2.2","BA.2.75"
"XCG","Omicron"
"XBB.2.11","XBB"
"XBB.2.11.1","XBB"
"XBB.1.16.10","XBB.1.16"
"XBB.1.5.76","XBB"
"GF.1","XBB"
"EG.6","XBB"
"XBB.2.6.2","XBB"
"EG.5.2","XBB"
"FL.1.5.1","XBB"
"GJ.1","XBB"
"XBB.1.43.1","XBB"
"XBB.1.5.80","XBB"
"FL.13","XBB"
"XBB.1.42","XBB"
"XBB.1.16.7","XBB.1.16"
"XBB.1.43","XBB"
"FL.17","XBB"
"FP.4","XBB"
"FY.1.1","XBB"
"XBC.1.1.2","Omicron"
"XBB.1.5.2","XBB"
"FL.4.1","XBB"
"FP.2.1","XBB"
"XBB.1.5.72","XBB"
"FL.15","XBB"
"XBB.1.44","XBB"
"XBB.1.16.20","XBB.1.16"
"EG.5.1.1","XBB"
"GK.1","XBB"
"XBB.1.49","XBB"
"GY.8","XBB.1.16"
"GY.6","XBB.1.16"
"XBB.1.5.91","XBB"
"GD.2","XBB"
"EG.1.6","XBB"
"FD.4.1","XBB"
"XBB.1.16.22","XBB.1.16"
"FL.4.7","XBB"
"FU.5","XBB.1.16"
"XBB.1.16.21","XBB.1.16"
"XBB.1.16.17","XBB.1.16"
"XBB.2.3.14","XBB.2.3"
"BE.1.1.1","BA.5"
"XBB.1.5.59","XBB"
"B.1.215","Other"
"GY.2","XBB.1.16"
"CK.1.5","BA.5"
"FL.22","XBB"
"GJ.1.2","XBB"
"XBB.1.16.14","XBB.1.16"
"FL.23","XBB"
"FU.4","XBB.1.16"
"FL.26","XBB"
"XBB.1.5.96","XBB"
"XBB.1.5.99","XBB"
"XBB.1.16.16","XBB.1.16"
"B.1.1.122","Other"
"HF.1","XBB.1.16"
"GK.1.3","XBB"
"FL.18","XBB.1.16"
"FU.3","XBB.1.16"
"BU.1","BA.5"
"B.1.104","Other"
"B.1.1.59","Other"
"GD.3","XBB"
"GZ.1","XBB"
"EG.12","XBB"
"FL.13.2","XBB"
"GW.4","XBB"
"XBB.1.16.19","XBB.1.16"
"XBB.1.16.13","XBB.1.16"
"GY.4","XBB.1.16"
"XBB.1.16.18","XBB.1.16"
"XBB.1.31.2","XBB"
"HH.2","XBB"
"GA.6","XBB"
"GJ.4","XBB"
"XBB.2.3.13","XBB.2.3"
"XBB.1.19.2","XBB"
"XBB.1.16.12","XBB.1.16"
"HH.1","XBB"
"FU.3.1","XBB.1.16"
"GJ.3","XBB"
"FL.13.3","XBB"
"FY.3.1","XBB"
"XBB.1.16.9","XBB.1.16"
"HK.2","XBB"
"B.1.1.294","Other"
"B.1.466","Other"
"FL.2.6","XBB"
"B.1.1.38","Other"
"GM.3","XBB"
"XCH.1","XBB"
"EG.14","XBB"
"BF.7.14.6","BF.7"
"GS.2","XBB"
"FL.4.11","XBB"
"GE.1.1","XBB"
"EG.13","XBB"
"XBB.1.16.24","XBB.1.16"
"FL.31","XBB"
"EP.1.1","BA.2.75"
"JG.3","XBB"
"GW.5.1.1","XBB"
"DV.7.1.3","BA.2.75"
"JM.2","XBB.1.16"
"XBB.1.16.15","XBB.1.16"
"JN.1","JN.1"
"FL.4.8","XBB"
"BA.2.86.1","Omicron"
"EG.5.1.6","XBB"
"GE.1.3","XBB"
"HK.3","XBB"
"GW.5","XBB"
"HV.1","XBB"
"BA.2.86","Omicron"
"JE.1","XBB.2.3"
"JE.1.1","XBB.2.3"
"GW.5.1","XBB"
"JN.2","Omicron"
"XBB.1.41.1","XBB"
"GK.1.1","XBB"
"HK.3.1","XBB"
"EG.5.1.8","XBB"
"JD.1.1","XBB"
"JF.1","XBB.1.16"
"JN.1.9","JN.1"
"JN.1.5","JN.1"
"JN.1.2","JN.1"
"JN.1.8","JN.1"
"JN.1.1","JN.1"
"JN.1.1.1","JN.1"
"JN.1.6","JN.1"
"JN.1.3","JN.1"
"JN.1.10","JN.1"
"JN.1.1.3","JN.1"
"JN.1.4","JN.1"
"JN.6","Omicron"
"B.1.1.135","Other"
"B.1.1.254","Other"
"B.1.214","Other"
"B.1.468","Other"
"B.1.518","Other"
"EG.5.1.15","XBB"
"EW.2","Omicron"
"FL.13.4","XBB"
"FL.2.7","XBB"
"FL.39","XBB"
"FU.1.1","XBB.1.16"
"FY.9","XBB"
"GA.7","XBB"
"GJ.6","XBB"
"GW.5.3.1","XBB"
"HH.3","XBB"
"HH.4","XBB"
"HH.6","XBB"
"HH.7","XBB"
"HK.29","XBB"
"HK.3.5","XBB"
"HN.5","XBB"
"HV.1.11","XBB"
"JE.1.1.1","XBB.2.3"
"JF.1.1","XBB.1.16"
"JG.3.2","XBB.1.16"
"JK.1","XBB"
"JN.1.11","JN.1"
"JY.1","XBB.2.3"
"JY.1.1","XBB.2.3"
"KB.3","XBB"
"Q.1","Alpha"
"XBB.1.16.25","XBB.1.16"
"XBB.1.16.26","XBB.1.16"
"XBB.1.16.31","XBB.1.16"
"XBB.1.5.110","XBB"
"XBB.1.5.95","XBB"
"XBB.2.3.18","XBB.2.3"
"XBB.2.3.19","XBB.2.3"
"XBB.2.3.20","XBB.2.3"
"XCW","Omicron"
"XDA","Omicron"
"XDB","Omicron"
"XDD","Omicron"
"XDK","Omicron"
"JD.1.1.1","XBB"
"XBB.1.28.1","XBB"
"JN.1.22","JN.1"
"JN.1.15","JN.1"
"JN.1.9.1","JN.1"
"JN.1.20","JN.1"
"JN.1.4.2","JN.1"
"GY.3","XBB.1.16"
"JN.1.18","JN.1"
"JN.1.11.1","JN.1"
"JN.1.19","JN.1"
"B.1.237","Other"
"BA.2.87","Omicron"
"JN.12","Omicron"
"JN.1.25","JN.1"
"JN.1.25.1","JN.1"
"JN.1.1.5","JN.1"
"KP.1","KP.x"
"KP.1.1","KP.x"
"XBB.1.5.73","XBB"
"XDK.1","Omicron"
"CJ.1.2","BA.2.75"
"KP.2","KP.x"
"JN.1.16","JN.1"
"HN.3","XBB"
"JN.1.7.2","JN.1"
"JN.1.13","JN.1"
"B.1.1.33","Other"
"FY.3","XBB"
"JN.1.1.6","JN.1"
"JN.1.1.7","JN.1"
"JN.1.16.1","JN.1"
"JN.1.18.1","JN.1"
"JN.1.28","JN.1"
"JN.1.28.1","JN.1"
"JN.1.29","JN.1"
"JN.1.30","JN.1"
"JN.1.30.1","JN.1"
"JN.1.32","JN.1"
"JN.1.33","JN.1"
"JN.1.37","JN.1"
"JN.1.38","JN.1"
"JN.1.39","JN.1"
"JN.1.4.4","JN.1"
"JN.1.4.5","JN.1"
"JN.1.4.7","JN.1"
"JN.1.40","JN.1"
"JN.1.43.1","JN.1"
"JN.1.44","JN.1"
"JN.1.47","JN.1"
"JN.1.48","JN.1"
"JN.1.48.1","JN.1"
"JN.1.8.3","JN.1"
"JN.1.9.2","JN.1"
"KP.1.1.1","KP.x"
"KP.1.2","KP.x"
"KP.2.1","KP.x"
"KP.2.2","KP.x"
"KP.2.3","KP.x"
"KP.3","KP.x"
"KP.4","KP.x"
"KP.4.1","KP.x"
"KP.4.2","KP.x"
"KU.1","JN.1"
"KU.2","JN.1"
"KZ.1","JN.1"
"KZ.1.1","JN.1"
"LB.1","JN.1"
"LC.1","JN.1"
"JN.1.6.1","JN.1"
"BA.1.1.17","BA.1.X"
"BA.2.53","BA.2.X"
"JN.1.1.10","JN.1"
"JN.1.1.8","JN.1"
"JN.1.18.3","JN.1"
"JN.1.34","JN.1"
"JN.1.39.2","JN.1"
"JN.1.39.3","JN.1"
"JN.1.42","JN.1"
"JN.1.44.1","JN.1"
"JN.1.46","JN.1"
"JN.1.48.2","JN.1"
"JN.1.49","JN.1"
"JN.1.49.1","JN.1"
"JN.1.49.2","JN.1"
"JN.1.52","JN.1"
"JN.1.53","JN.1"
"JN.1.57","JN.1"
"JN.1.58","JN.1"
"JN.1.60","JN.1"
"JN.1.61","JN.1"
"JN.1.63.1","JN.1"
"KP.1.1.3","KP.x"
"KP.1.1.5","KP.x"
"KP.2.16","KP.x"
"KP.2.4","KP.x"
"KP.2.5","KP.x"
"KP.2.7","KP.x"
"KP.3.1","KP.x"
"KP.3.1.4","KP.x"
"KP.3.2","KP.x"
"KP.3.2.1","KP.x"
"KP.4.1.1","KP.x"
"KP.4.2.1","KP.x"
"KP.5","KP.x"
"KQ.1","JN.1"
"LB.1.2","JN.1"
"LB.1.2.1","JN.1"
"LB.1.3","JN.1"
"LB.1.4","JN.1"
"LM.1","JN.1"
"LQ.1","JN.1"
"XBB.1.16.23","XBB.1.16"
"KP.2.15","KP.x"
"B.1.1.453","Other"
"BN.1.7","BA.2.75"
"JN.1.64","JN.1"
"JN.1.64.1","JN.1"
"KP.2.14","KP.x"
"KP.2.3.1","KP.x"
"KP.2.3.4","KP.x"
"KP.3.1.1","KP.x"
"KP.3.1.6","KP.x"
"KP.4.2.3","KP.x"
"KR.3","JN.1"
"KW.1.1","JN.1"
"MB.1","JN.1"
"MB.1.1","JN.1"
"MM.1","KP.x"
"JN.1.18.7","JN.1"
"KP.3.2.4","KP.x"
"KP.3.5","KP.x"
"LD.1","JN.1"
"LE.1.3.1","JN.1"
"LF.1","JN.1"
"LF.3.1","JN.1"
"MA.1","JN.1"
"MB.1.1.1","JN.1"
"MV.1","JN.1"
"XEF","Omicron"
"KP.2.3.7","KP.x"
"KP.2.10","KP.x"
"MC.16","KP.x"
"LF.8","JN.1"
"BA.2.14","BA.2.X"
"EG.5.1.4","XBB"
"KP.2.24","KP.x"
"KP.6","KP.x"
"KP.2.3.6","KP.x"
"LB.1.9","JN.1"
"JN.1.67.1","JN.1"
"JN.1.11.2","JN.1"
"KP.1.1.6","KP.x"
"KP.2.2.1","KP.x"
"KP.2.25","KP.x"
"KP.2.3.10","KP.x"
"KP.2.3.11","KP.x"
"KP.2.3.13","KP.x"
"KP.2.3.8","KP.x"
"LP.10.1","KP.x"
"LP.5","KP.x"
"LP.6","KP.x"
"LP.7","KP.x"
"MB.1.1.2","JN.1"
"MB.1.1.3","JN.1"
"MV.2","JN.1"
"NA.1","JN.1"
"NE.1","KP.x"
"NH.3","KP.x"
"NK.1","KP.x"
"NN.1.1","KP.x"
"XBB.1.29","XBB"
"XBB.1.5.107","XBB"
"XDK.1.2","Omicron"
"XDR","Omicron"
"XEN","KP.x"
"KP.3.3","KP.x"
"MC.19","KP.x"
"ND.1.1","JN.1"
"XDY","Omicron"
"ND.2","JN.1"
"MC.24","KP.x"
"ND.2.1","JN.1"
"MV.1.1","JN.1"
"LF.7.1","LF.7.x"
"LB.1.1","JN.1"
"LF.7.1.2","LF.7.x"
"LF.7.2.1","LF.7.x"
"LF.7.9","LF.7.x"
"NB.1.8.1","Omicron"
"NY.3","Omicron"
"LF.7","LF.7.x"
"XFG","XFG"
"MJ.2.1","JN.1"
"NW.1","JN.1"
"LP.8.1.1","JN.1"
"PL.1.1","LF.7.x"
"PY.1","LF.7.x"
"XFG.3","XFG"
"XFG.3.1","XFG"
"XFP","Omicron"
"PY.2","LF.7.x"
"PQ.1","Omicron"
"PL.1","LF.7.x"
"PQ.13","Omicron"
"NW.1.3","JN.1"
"XEF.1","Omicron"
"LB.1.3.5","JN.1"
"NY.9","Omicron"
"XFJ","Omicron"
"HY.1","XBB"
"MA.1.2","JN.1"
"KP.2.6","KP.x"
"B.1.1.277","Other"
"MZ.2","JN.1"
"LF.7.9.1","LF.7.x"
"PQ.7","Omicron"
"LP.8.1.2","JN.1"
"XFC.1","Omicron"
"LF.7.2","LF.7.x"
"LP.8.1","JN.1"
"PC.2","LF.7.x"
"PQ.2","Omicron"
"PQ.5","Omicron"
"LB.1.11","JN.1"
"LB.1.11.1","JN.1"
"MV.1.7","JN.1"
"MV.1.8","JN.1"
"KP.7","KP.x"
"LF.7.9.5","LF.7.x"
"PY.1.1","LF.7.x"
"PY.1.1.1","LF.7.x"
"PY.1.3","LF.7.x"
"PY.1.4","LF.7.x"
"PY.1.4.1","LF.7.x"
"PY.1.5","LF.7.x"
"PY.1.6","LF.7.x"
"PY.1.7","LF.7.x"
"PY.1.8","LF.7.x"
"QB.1","LF.7.x"
"XFQ","LF.7.x"
"NY.3.3","Omicron"
"PQ.17","Omicron"
"PQ.31","Omicron"
"PQ.5.1","Omicron"
"XFJ.4","Omicron"
"XFP.1","Omicron"
"XFP.1.1","Omicron"
"XFP.2","Omicron"
"XBB.1.5.81","XBB"
"QF.3","XFG"
"QK.4","XFG"
"QY.1","XFG"
"XFG.11","XFG"
"XFG.14","XFG"
"XFG.15","XFG"
"XFG.16","XFG"
"XFG.21","XFG"
"XFG.23","XFG"
"XFG.29","XFG"
"XFG.3.1.2","XFG"
"XFG.3.1.9","XFG"
"XFG.3.10","XFG"
"XFG.3.16","XFG"
"XFG.3.18","XFG"
"XFG.3.26","XFG"
"XFG.3.27","XFG"
"XFG.3.4","XFG"
"XFG.3.4.1","XFG"
"XFG.3.4.2","XFG"
"XFG.3.4.3","XFG"
"XFG.3.4.6","XFG"
"XFG.3.4.9","XFG"
"XFG.3.5","XFG"
"XFG.3.5.1","XFG"
"XFG.3.6","XFG"
"XFG.3.7","XFG"
"XFG.4","XFG"
"XFG.4.1","XFG"
"XFG.4.1.3","XFG"
"XFG.4.1.4","XFG"
"XFG.4.3","XFG"
"XFG.4.4","XFG"
"XFG.5","XFG"
"XFG.5.1","XFG"
"XFG.5.1.4","XFG"
"XFG.5.2","XFG"
"XFG.6","XFG"
"XFG.7","XFG"
"XFG.14.7","XFG"
"QY.2","XFG"
"QY.3","XFG"
"RF.1","LF.7.x"
"XFG.6.9","XFG"
